match_number,match_date,home_team,away_team,group,stage,tournament,neutral
1,2026-06-11,Mexico,South Africa,A,group,FIFA World Cup,0
2,2026-06-11,South Korea,Czechia,A,group,FIFA World Cup,1
3,2026-06-12,Canada,Bosnia and Herzegovina,B,group,FIFA World Cup,0
4,2026-06-12,United States,Paraguay,D,group,FIFA World Cup,0
5,2026-06-13,Haiti,Scotland,C,group,FIFA World Cup,1
6,2026-06-13,Australia,Turkey,D,group,FIFA World Cup,1
7,2026-06-13,Brazil,Morocco,C,group,FIFA World Cup,1
8,2026-06-13,Qatar,Switzerland,B,group,FIFA World Cup,1
9,2026-06-14,Ivory Coast,Ecuador,E,group,FIFA World Cup,1
10,2026-06-14,Germany,Curacao,E,group,FIFA World Cup,1
11,2026-06-14,Netherlands,Japan,F,group,FIFA World Cup,1
12,2026-06-14,Sweden,Tunisia,F,group,FIFA World Cup,1
13,2026-06-15,Saudi Arabia,Uruguay,H,group,FIFA World Cup,1
14,2026-06-15,Spain,Cape Verde,H,group,FIFA World Cup,1
15,2026-06-15,Iran,New Zealand,G,group,FIFA World Cup,1
16,2026-06-15,Belgium,Egypt,G,group,FIFA World Cup,1
17,2026-06-16,France,Senegal,I,group,FIFA World Cup,1
18,2026-06-16,Iraq,Norway,I,group,FIFA World Cup,1
19,2026-06-16,Argentina,Algeria,J,group,FIFA World Cup,1
20,2026-06-16,Austria,Jordan,J,group,FIFA World Cup,1
21,2026-06-17,Ghana,Panama,L,group,FIFA World Cup,1
22,2026-06-17,England,Croatia,L,group,FIFA World Cup,1
23,2026-06-17,Portugal,DR Congo,K,group,FIFA World Cup,1
24,2026-06-17,Uzbekistan,Colombia,K,group,FIFA World Cup,1
25,2026-06-18,Czechia,South Africa,A,group,FIFA World Cup,1
26,2026-06-18,Switzerland,Bosnia and Herzegovina,B,group,FIFA World Cup,1
27,2026-06-18,Canada,Qatar,B,group,FIFA World Cup,0
28,2026-06-18,Mexico,South Korea,A,group,FIFA World Cup,0
29,2026-06-19,Brazil,Haiti,C,group,FIFA World Cup,1
30,2026-06-19,Scotland,Morocco,C,group,FIFA World Cup,1
31,2026-06-19,Turkey,Paraguay,D,group,FIFA World Cup,1
32,2026-06-19,United States,Australia,D,group,FIFA World Cup,0
33,2026-06-20,Germany,Ivory Coast,E,group,FIFA World Cup,1
34,2026-06-20,Ecuador,Curacao,E,group,FIFA World Cup,1
35,2026-06-20,Netherlands,Sweden,F,group,FIFA World Cup,1
36,2026-06-20,Tunisia,Japan,F,group,FIFA World Cup,1
37,2026-06-21,Uruguay,Cape Verde,H,group,FIFA World Cup,1
38,2026-06-21,Spain,Saudi Arabia,H,group,FIFA World Cup,1
39,2026-06-21,Belgium,Iran,G,group,FIFA World Cup,1
40,2026-06-21,New Zealand,Egypt,G,group,FIFA World Cup,1
41,2026-06-22,Norway,Senegal,I,group,FIFA World Cup,1
42,2026-06-22,France,Iraq,I,group,FIFA World Cup,1
43,2026-06-22,Argentina,Austria,J,group,FIFA World Cup,1
44,2026-06-22,Jordan,Algeria,J,group,FIFA World Cup,1
45,2026-06-23,England,Ghana,L,group,FIFA World Cup,1
46,2026-06-23,Panama,Croatia,L,group,FIFA World Cup,1
47,2026-06-23,Portugal,Uzbekistan,K,group,FIFA World Cup,1
48,2026-06-23,Colombia,DR Congo,K,group,FIFA World Cup,1
49,2026-06-24,Scotland,Brazil,C,group,FIFA World Cup,1
50,2026-06-24,Morocco,Haiti,C,group,FIFA World Cup,1
51,2026-06-24,Switzerland,Canada,B,group,FIFA World Cup,0
52,2026-06-24,Bosnia and Herzegovina,Qatar,B,group,FIFA World Cup,1
53,2026-06-24,Czechia,Mexico,A,group,FIFA World Cup,0
54,2026-06-24,South Africa,South Korea,A,group,FIFA World Cup,1
55,2026-06-25,Curacao,Ivory Coast,E,group,FIFA World Cup,1
56,2026-06-25,Ecuador,Germany,E,group,FIFA World Cup,1
57,2026-06-25,Japan,Sweden,F,group,FIFA World Cup,1
58,2026-06-25,Tunisia,Netherlands,F,group,FIFA World Cup,1
59,2026-06-25,Turkey,United States,D,group,FIFA World Cup,0
60,2026-06-25,Paraguay,Australia,D,group,FIFA World Cup,1
61,2026-06-26,Norway,France,I,group,FIFA World Cup,1
62,2026-06-26,Senegal,Iraq,I,group,FIFA World Cup,1
63,2026-06-26,Egypt,Iran,G,group,FIFA World Cup,1
64,2026-06-26,New Zealand,Belgium,G,group,FIFA World Cup,1
65,2026-06-26,Cape Verde,Saudi Arabia,H,group,FIFA World Cup,1
66,2026-06-26,Uruguay,Spain,H,group,FIFA World Cup,1
67,2026-06-27,Panama,England,L,group,FIFA World Cup,1
68,2026-06-27,Croatia,Ghana,L,group,FIFA World Cup,1
69,2026-06-27,Algeria,Austria,J,group,FIFA World Cup,1
70,2026-06-27,Jordan,Argentina,J,group,FIFA World Cup,1
71,2026-06-27,Colombia,Portugal,K,group,FIFA World Cup,1
72,2026-06-27,DR Congo,Uzbekistan,K,group,FIFA World Cup,1
