team,count,final_probability
Spain,31941,0.31941
Argentina,18498,0.18498
France,15203,0.15203
Brazil,14038,0.14038
Germany,13614,0.13614
England,11163,0.11163
Colombia,8667,0.08667
Netherlands,8302,0.08302
Belgium,7422,0.07422
Portugal,7330,0.0733
Switzerland,7003,0.07003
Norway,6423,0.06423
Uruguay,5674,0.05674
Ecuador,5514,0.05514
Mexico,5285,0.05285
Japan,4822,0.04822
Morocco,3559,0.03559
South Korea,2728,0.02728
United States,2388,0.02388
Austria,2300,0.023
Turkey,2092,0.02092
Canada,1857,0.01857
Croatia,1813,0.01813
Paraguay,1776,0.01776
Scotland,1760,0.0176
Senegal,1247,0.01247
Sweden,1148,0.01148
Algeria,1048,0.01048
Iran,1016,0.01016
Australia,979,0.00979
Ivory Coast,553,0.00553
Egypt,534,0.00534
Uzbekistan,421,0.00421
Panama,357,0.00357
Tunisia,259,0.00259
Jordan,253,0.00253
Saudi Arabia,223,0.00223
Iraq,185,0.00185
New Zealand,182,0.00182
South Africa,113,0.00113
DR Congo,76,0.00076
Ghana,72,0.00072
Haiti,57,0.00057
Bosnia and Herzegovina,46,0.00046
Qatar,43,0.00043
Cape Verde,15,0.00015
Czechia,1,1e-05
