team,count,champion_probability
Spain,22601,0.22601
Argentina,10806,0.10806
Brazil,7865,0.07865
France,7571,0.07571
England,5487,0.05487
Germany,5455,0.05455
Colombia,3786,0.03786
Netherlands,3733,0.03733
Portugal,3434,0.03434
Switzerland,3268,0.03268
Belgium,2846,0.02846
Mexico,2806,0.02806
Norway,2628,0.02628
Uruguay,2442,0.02442
Japan,2008,0.02008
Ecuador,1840,0.0184
Morocco,1599,0.01599
South Korea,1285,0.01285
United States,1051,0.01051
Turkey,932,0.00932
Austria,876,0.00876
Paraguay,737,0.00737
Canada,701,0.00701
Scotland,574,0.00574
Croatia,515,0.00515
Sweden,442,0.00442
Iran,436,0.00436
Australia,409,0.00409
Senegal,381,0.00381
Czechia,365,0.00365
Algeria,286,0.00286
Egypt,180,0.0018
Ivory Coast,142,0.00142
Panama,100,0.001
Uzbekistan,73,0.00073
Jordan,67,0.00067
Tunisia,64,0.00064
Saudi Arabia,49,0.00049
New Zealand,38,0.00038
South Africa,30,0.0003
Iraq,29,0.00029
Congo DR,24,0.00024
Ghana,13,0.00013
Qatar,8,8e-05
Bosnia and Herzegovina,7,7e-05
Haiti,6,6e-05
Cabo Verde,3,3e-05
Curacao,2,2e-05
