team,count,runner_up_probability
Spain,11831,0.11831
Argentina,7129,0.07129
Brazil,7074,0.07074
France,6052,0.06052
Germany,5552,0.05552
England,4763,0.04763
Netherlands,4421,0.04421
Switzerland,4325,0.04325
Colombia,4137,0.04137
Mexico,3730,0.0373
Portugal,3723,0.03723
Uruguay,3667,0.03667
Belgium,3556,0.03556
Norway,3154,0.03154
Japan,2855,0.02855
Ecuador,2726,0.02726
Morocco,2445,0.02445
South Korea,2043,0.02043
United States,1781,0.01781
Turkey,1635,0.01635
Canada,1505,0.01505
Austria,1331,0.01331
Paraguay,1230,0.0123
Scotland,1158,0.01158
Croatia,1057,0.01057
Iran,875,0.00875
Czechia,861,0.00861
Sweden,851,0.00851
Australia,830,0.0083
Senegal,751,0.00751
Algeria,554,0.00554
Egypt,437,0.00437
Ivory Coast,358,0.00358
Uzbekistan,258,0.00258
Panama,226,0.00226
Tunisia,182,0.00182
Jordan,177,0.00177
New Zealand,156,0.00156
Saudi Arabia,145,0.00145
South Africa,145,0.00145
Iraq,80,0.0008
Congo DR,52,0.00052
Ghana,49,0.00049
Haiti,44,0.00044
Qatar,37,0.00037
Bosnia and Herzegovina,25,0.00025
Cabo Verde,14,0.00014
Curacao,13,0.00013
